Model,r2_24,rmse_24,mae_24,r2_48,rmse_48,mae_48,r2_72,rmse_72,mae_72,average_r2
Random Forest,0.699913918093048,29.150479280938118,21.197191135734073,0.48570853127931224,38.161810284282794,27.884797783933518,0.4289267468416261,40.22423388728517,30.039181902123726,0.5381830654046621
Ridge,0.7564172180493457,26.263104770006322,19.153226819234217,0.5983459744011446,33.724876669100624,25.36669208740222,0.5335206951978706,36.35449044741104,27.321626853457506,0.6294279625494537
XGBoost,0.773956802969884,25.299881884033063,18.066620035074646,0.5232764149038233,36.74156299346824,26.908749219167046,0.4557716419479838,39.26742791448147,29.32047900255367,0.5843349532738971
Random Forest,0.6924120919981127,29.512595283528427,21.389045244690674,0.49178428027140186,37.93572210021848,27.744450600184674,0.42711347477265027,40.288043278949864,29.87697137580794,0.5371032823473882
Ridge,0.7588308393218919,26.13266246428749,19.143065197505525,0.5984094859298815,33.72221019121594,25.400305153886826,0.5335499770642282,36.35334940639809,27.33969887153865,0.6302634341053339
XGBoost,0.772280784886951,25.39350281532969,18.274925577123188,0.5032445114557622,37.50555921252475,27.890827853131494,0.4541584978454831,39.325581030588,29.444229276732834,0.5765612647293987
Random Forest,0.6922178133051176,29.521914185865377,21.34755586334257,0.4914069690619518,37.94980167010829,27.733620498614957,0.4265045584199352,40.30944850670932,29.899269621421972,0.5367097802623348
Ridge,0.7588308393218919,26.13266246428749,19.143065197505525,0.5984094859298815,33.72221019121594,25.400305153886826,0.5335499770642282,36.35334940639809,27.33969887153865,0.6302634341053339
XGBoost,0.772280784886951,25.39350281532969,18.274925577123188,0.5032445114557622,37.50555921252475,27.890827853131494,0.4541584978454831,39.325581030588,29.444229276732834,0.5765612647293987
LSTM,0.6655223506194146,30.842839845038196,21.566284898437036,0.5368860608138084,36.29012382191936,26.295001910582386,0.4879222908602202,38.16881335030996,27.99940330591699,
Random Forest,0.6922178133051176,29.521914185865377,21.34755586334257,0.4914069690619518,37.94980167010829,27.733620498614957,0.4265045584199352,40.30944850670932,29.899269621421972,0.5367097802623348
Ridge,0.7588308393218919,26.13266246428749,19.143065197505525,0.5984094859298815,33.72221019121594,25.400305153886826,0.5335499770642282,36.35334940639809,27.33969887153865,0.6302634341053339
XGBoost,0.772280784886951,25.39350281532969,18.274925577123188,0.5032445114557622,37.50555921252475,27.890827853131494,0.4541584978454831,39.325581030588,29.444229276732834,0.5765612647293987
LSTM,0.6664893977893049,30.79822091315847,21.967262334581253,0.5302785951824427,36.54809112654076,26.878979570590108,0.4994281940836338,37.73756855095391,28.343137357213283,0.5653987290184604
